Goalie,Team,Date,Games,xGAE,Result,Impact
John Gibson,ANA,"October 14, 2023", ANA at VGK,0.4700000000000002,L,Strong in Loss
John Gibson,ANA,"October 19, 2023", DAL at ANA,-0.08999999999999986,L,No Impact
John Gibson,ANA,"October 22, 2023", BOS at ANA,0.71,L,Strong in Loss
John Gibson,ANA,"October 26, 2023", ANA at BOS,-0.1499999999999999,W,Bad in Win
John Gibson,ANA,"October 30, 2023", ANA at PIT,0.20999999999999996,W,No Impact
John Gibson,ANA,"November 05, 2023", VGK at ANA,1.25,W,No Impact
John Gibson,ANA,"November 07, 2023", PIT at ANA,2.27,L,Strong in Loss
John Gibson,ANA,"November 12, 2023", S.J at ANA,1.5299999999999998,W,No Impact
John Gibson,ANA,"November 14, 2023", ANA at NSH,1.15,W,Goalie Win
John Gibson,ANA,"November 17, 2023", FLA at ANA,1.7400000000000002,L,Strong in Loss
John Gibson,ANA,"November 19, 2023", STL at ANA,0.20000000000000018,L,Strong in Loss
John Gibson,ANA,"November 22, 2023", MTL at ANA,-1.1800000000000002,L,Goalie Loss
John Gibson,ANA,"November 24, 2023", L.A at ANA,-2.0,L,No Impact
John Gibson,ANA,"November 26, 2023", ANA at EDM,-0.3899999999999999,L,No Impact
John Gibson,ANA,"November 28, 2023", ANA at VAN,1.15,L,Strong in Loss
John Gibson,ANA,"November 30, 2023", WSH at ANA,-1.54,L,Goalie Loss
John Gibson,ANA,"December 02, 2023", COL at ANA,0.29000000000000004,W,No Impact
John Gibson,ANA,"December 05, 2023", ANA at COL,0.9900000000000002,L,Strong in Loss
John Gibson,ANA,"December 10, 2023", WPG at ANA,-0.009999999999999787,L,No Impact
John Gibson,ANA,"December 13, 2023", ANA at NYI,-1.19,L,Goalie Loss
John Gibson,ANA,"December 17, 2023", ANA at N.J,1.69,W,No Impact
John Gibson,ANA,"December 27, 2023", VGK at ANA,1.7200000000000002,W,No Impact
John Gibson,ANA,"December 29, 2023", ARI at ANA,1.92,L,Strong in Loss
John Gibson,ANA,"December 31, 2023", EDM at ANA,-3.05,L,No Impact
John Gibson,ANA,"January 05, 2024", WPG at ANA,-0.5899999999999999,L,No Impact
John Gibson,ANA,"January 11, 2024", ANA at CAR,-2.12,L,No Impact
John Gibson,ANA,"January 15, 2024", ANA at FLA,-0.56,W,Bad in Win
John Gibson,ANA,"January 16, 2024", ANA at WSH,1.5699999999999998,L,Strong in Loss
John Gibson,ANA,"January 20, 2024", ANA at S.J,-1.7999999999999998,L,No Impact
John Gibson,ANA,"January 23, 2024", BUF at ANA,1.3399999999999999,W,No Impact
John Gibson,ANA,"January 25, 2024", ANA at DAL,-0.1499999999999999,L,No Impact
John Gibson,ANA,"January 31, 2024", S.J at ANA,0.43000000000000016,W,No Impact
John Gibson,ANA,"February 09, 2024", EDM at ANA,0.41999999999999993,L,Strong in Loss
John Gibson,ANA,"February 15, 2024", ANA at OTT,1.85,W,No Impact
John Gibson,ANA,"February 17, 2024", ANA at TOR,-3.6799999999999997,L,No Impact
John Gibson,ANA,"February 19, 2024", ANA at BUF,0.8500000000000001,W,No Impact
John Gibson,ANA,"February 21, 2024", CBJ at ANA,-3.61,L,Goalie Loss
John Gibson,ANA,"February 24, 2024", ANA at L.A,1.92,L,Strong in Loss
John Gibson,ANA,"February 29, 2024", ANA at S.J,-0.2200000000000002,W,Bad in Win
John Gibson,ANA,"March 08, 2024", DAL at ANA,-2.6,L,No Impact
John Gibson,ANA,"March 12, 2024", ANA at CHI,-2.41,L,No Impact
John Gibson,ANA,"March 15, 2024", ANA at WPG,-2.14,L,No Impact
John Gibson,ANA,"March 19, 2024", MIN at ANA,-0.43000000000000016,L,No Impact
John Gibson,ANA,"March 26, 2024", ANA at SEA,-0.41000000000000014,L,No Impact
John Gibson,ANA,"March 30, 2024", ANA at EDM,-1.63,L,No Impact
John Gibson,ANA,"April 12, 2024", CGY at ANA,-1.6500000000000004,L,No Impact
Lukas Dostal,ANA,"October 15, 2023", CAR at ANA,-0.06999999999999984,W,Bad in Win
Lukas Dostal,ANA,"October 21, 2023", ANA at ARI,1.2200000000000002,L,Strong in Loss
Lukas Dostal,ANA,"October 24, 2023", ANA at CBJ,1.4500000000000002,W,Goalie Win
Lukas Dostal,ANA,"October 28, 2023", ANA at PHI,-1.17,W,Bad in Win
Lukas Dostal,ANA,"October 30, 2023", ANA at PIT,3.3899999999999997,W,Goalie Win
Lukas Dostal,ANA,"November 01, 2023", ARI at ANA,0.1499999999999999,W,No Impact
Lukas Dostal,ANA,"November 10, 2023", PHI at ANA,-1.7400000000000002,L,No Impact
Lukas Dostal,ANA,"November 15, 2023", ANA at COL,-4.55,L,No Impact
Lukas Dostal,ANA,"November 26, 2023", ANA at EDM,-4.52,L,No Impact
Lukas Dostal,ANA,"December 07, 2023", ANA at CHI,0.8300000000000001,L,Strong in Loss
Lukas Dostal,ANA,"December 15, 2023", ANA at NYR,-0.9199999999999999,L,No Impact
Lukas Dostal,ANA,"December 17, 2023", ANA at N.J,1.3,W,No Impact
Lukas Dostal,ANA,"December 18, 2023", ANA at DET,0.08999999999999986,W,No Impact
Lukas Dostal,ANA,"December 21, 2023", CGY at ANA,2.84,L,Strong in Loss
Lukas Dostal,ANA,"December 23, 2023", SEA at ANA,-1.13,L,Goalie Loss
