Goalie,Team,Date,Games,xGAE,Result,Impact
Jonas Johansson,COL,2021-10-21, COL at FLA,-0.18000000000000016,L,No Impact
Jonas Johansson,COL,2021-11-03, CBJ at COL,-2.72,L,Goalie Loss
Jonas Johansson,COL,2021-11-22, OTT at COL,0.05,W,No Impact
Jonas Johansson,COL,2021-11-24, ANA at COL,0.3400000000000001,W,No Impact
Jonas Johansson,COL,2021-11-27, NSH at COL,0.7999999999999998,W,No Impact
Jonas Johansson,COL,2021-12-01, COL at TOR,-4.45,L,No Impact
Jonas Johansson,COL,2021-12-02, COL at MTL,0.27,W,No Impact
Jonas Johansson,COL,2021-12-04, COL at OTT,-2.96,L,Goalie Loss
Jonas Johansson,COL,2021-12-08, COL at NYR,0.01,W,No Impact
Darcy Kuemper,COL,2021-10-13, CHI at COL,0.06999999999999984,W,No Impact
Darcy Kuemper,COL,2021-10-16, STL at COL,-2.06,L,Goalie Loss
Darcy Kuemper,COL,2021-10-19, COL at WSH,-1.2999999999999998,L,No Impact
Darcy Kuemper,COL,2021-10-23, COL at T.B,-0.04999999999999982,W,Bad in Win
Darcy Kuemper,COL,2021-10-26, VGK at COL,0.25,L,Strong in Loss
Darcy Kuemper,COL,2021-10-28, COL at STL,-1.85,W,Bad in Win
Darcy Kuemper,COL,2021-10-30, MIN at COL,0.94,W,No Impact
Darcy Kuemper,COL,2021-11-06, COL at CBJ,0.25,L,Strong in Loss
Darcy Kuemper,COL,2021-11-11, VAN at COL,0.8,W,No Impact
Darcy Kuemper,COL,2021-11-13, S.J at COL,0.2599999999999998,W,No Impact
Darcy Kuemper,COL,2021-11-17, COL at VAN,0.98,W,No Impact
Darcy Kuemper,COL,2021-11-19, COL at SEA,-0.33999999999999986,W,Bad in Win
Darcy Kuemper,COL,2021-11-22, OTT at COL,-3.8200000000000003,W,Bad in Win
Darcy Kuemper,COL,2021-11-24, ANA at COL,-0.30000000000000004,W,Bad in Win
Darcy Kuemper,COL,2021-11-26, COL at DAL,-0.18000000000000016,L,No Impact
Darcy Kuemper,COL,2021-12-08, COL at NYR,0.18999999999999995,W,No Impact
Darcy Kuemper,COL,2021-12-10, DET at COL,-0.08000000000000007,W,Bad in Win
Darcy Kuemper,COL,2021-12-12, FLA at COL,1.77,W,Goalie Win
Darcy Kuemper,COL,2021-12-14, NYR at COL,1.77,W,No Impact
Darcy Kuemper,COL,2022-01-02, ANA at COL,0.7000000000000002,W,No Impact
Darcy Kuemper,COL,2022-01-04, COL at CHI,-0.20999999999999996,W,Bad in Win
Darcy Kuemper,COL,2022-01-06, WPG at COL,2.51,W,No Impact
Darcy Kuemper,COL,2022-01-08, TOR at COL,-2.19,W,Bad in Win
Darcy Kuemper,COL,2022-01-11, COL at NSH,-1.3399999999999999,L,Goalie Loss
Darcy Kuemper,COL,2022-01-15, COL at ARI,1.9,W,No Impact
Darcy Kuemper,COL,2022-01-17, MIN at COL,0.5800000000000001,W,No Impact
Darcy Kuemper,COL,2022-01-20, COL at L.A,2.93,W,No Impact
Darcy Kuemper,COL,2022-01-22, MTL at COL,0.7799999999999998,W,No Impact
Darcy Kuemper,COL,2022-01-26, BOS at COL,0.20999999999999996,W,No Impact
Darcy Kuemper,COL,2022-01-30, BUF at COL,1.88,W,No Impact
Darcy Kuemper,COL,2022-02-01, ARI at COL,0.2599999999999998,L,Strong in Loss
Darcy Kuemper,COL,2022-02-10, T.B at COL,1.6099999999999999,W,Goalie Win
Darcy Kuemper,COL,2022-02-13, COL at DAL,1.78,W,No Impact
Darcy Kuemper,COL,2022-02-16, COL at VGK,2.56,W,Goalie Win
Darcy Kuemper,COL,2022-02-19, COL at BUF,-0.6400000000000001,W,Bad in Win
Darcy Kuemper,COL,2022-02-21, COL at BOS,-0.5700000000000003,L,No Impact
Darcy Kuemper,COL,2022-02-26, COL at VGK,0.31999999999999984,W,No Impact
Darcy Kuemper,COL,2022-03-01, NYI at COL,0.2200000000000002,W,No Impact
Darcy Kuemper,COL,2022-03-05, CGY at COL,-1.83,L,Goalie Loss
Darcy Kuemper,COL,2022-03-08, COL at N.J,-0.16999999999999993,L,No Impact
Darcy Kuemper,COL,2022-03-10, COL at CAR,2.0,L,Strong in Loss
Darcy Kuemper,COL,2022-03-13, CGY at COL,3.33,W,Goalie Win
Darcy Kuemper,COL,2022-03-15, COL at L.A,2.62,W,No Impact
Darcy Kuemper,COL,2022-03-21, EDM at COL,0.04999999999999982,W,No Impact
Darcy Kuemper,COL,2022-03-23, VAN at COL,0.41000000000000014,L,Strong in Loss
Darcy Kuemper,COL,2022-03-27, COL at MIN,-0.5299999999999998,L,No Impact
Darcy Kuemper,COL,2022-03-29, COL at CGY,2.24,W,Goalie Win
Darcy Kuemper,COL,2022-04-02, PIT at COL,0.73,W,No Impact
Darcy Kuemper,COL,2022-04-05, COL at PIT,-0.20999999999999996,W,Bad in Win
Darcy Kuemper,COL,2022-04-09, COL at EDM,2.78,W,Goalie Win
Darcy Kuemper,COL,2022-04-13, L.A at COL,-0.8199999999999998,W,Bad in Win
Darcy Kuemper,COL,2022-04-16, CAR at COL,-1.1800000000000002,W,Bad in Win
Darcy Kuemper,COL,2022-04-18, WSH at COL,-1.28,L,Goalie Loss
